timestamp_ms,seq,mode,snr,per_radio,per_auth,battery,latency_ms,ack_received,retries,auth_success,mode_switch,cost,cal_cost
151418,151,CBC,-3,0,0,45.75609756,418,1,0,1,0,0.32,0.53561
152418,152,CBC,-3.3,0,0,45.36585366,418,1,0,1,0,0.32,0.536585
153418,153,CBC,-3.81,0,0,44.97560976,418,1,0,1,0,0.32,0.537561
154418,154,CBC,-3.87,0,0,44.58536585,418,1,0,1,0,0.32,0.538537
155418,155,CBC,-5.11,0,0,44.19512195,418,1,0,1,0,0.32,0.539512
156418,156,CBC,-4.77,0,0,43.80487805,418,1,0,1,0,0.32,0.540488
157418,157,CBC,-3.64,0,0,43.41463415,418,1,0,1,0,0.32,0.541463
158418,158,CBC,-2.85,0,0,43.02439024,418,1,0,1,0,0.32,0.542439
159418,159,CBC,-1.09,0,0,42.63414634,418,1,0,1,0,0.32,0.543415
160418,160,CBC,1.03,0,0,42.24390244,418,1,0,1,0,0.32,0.54439
161418,161,CBC,2.52,0,0,41.85365854,418,1,0,1,0,0.32,0.545366
162418,162,CBC,3.27,0,0,41.46341463,418,1,0,1,0,0.32,0.546341
163418,163,CTR,3.79,0,0,41.07317073,418,1,0,1,0,0.32,0.437854
164418,164,CTR,4.15,0,0,40.68292683,418,1,0,1,0,0.32,0.438634
165418,165,CBC,2.91,0,0,40.29268293,418,1,0,1,0,0.32,0.549268
166418,166,CBC,3.23,0,0,39.90243902,418,1,0,1,0,0.32,0.550244
167418,167,CBC,3.16,0,0,39.51219512,418,1,0,1,0,0.32,0.55122
168418,168,CBC,3.41,0,0,39.12195122,418,1,0,1,0,0.32,0.552195
169418,169,CBC,3.29,0,0,38.73170732,418,1,0,1,0,0.32,0.553171
170418,170,CTR,3.5,0,0,38.34146341,418,1,0,1,0,0.32,0.443317
171418,171,CTR,3.65,0,0,37.95121951,418,1,0,1,0,0.32,0.444098
172418,172,CTR,3.76,0,0,37.56097561,418,1,0,1,0,0.32,0.444878
173418,173,CTR,3.83,0,0,37.17073171,418,1,0,1,0,0.32,0.445659
174418,174,CTR,3.88,0,0,36.7804878,418,1,0,1,0,0.32,0.446439
175418,175,CTR,3.92,0,0,36.3902439,418,1,0,1,0,0.32,0.44722
176418,176,CTR,3.94,0,0,36,418,1,0,1,0,0.32,0.448
177418,177,CTR,3.96,0,0,35.6097561,418,1,0,1,0,0.32,0.44878
178418,178,CTR,3.97,0,0,35.2195122,418,1,0,1,0,0.32,0.449561
179418,179,CTR,3.98,0,0,34.82926829,418,1,0,1,0,0.32,0.450341
180418,180,CTR,3.99,0,0,34.43902439,418,1,0,1,0,0.32,0.451122
181418,181,CTR,3.99,0,0,34.04878049,418,1,0,1,0,0.32,0.451902
182418,182,CTR,3.99,0,0,33.65853659,418,1,0,1,0,0.32,0.452683
183418,183,CTR,4,0,0,33.26829268,418,1,0,1,0,0.32,0.453463
184418,184,CTR,4,0,0,32.87804878,418,1,0,1,0,0.32,0.454244
185418,185,CTR,4,0,0,32.48780488,418,1,0,1,0,0.32,0.455024
186418,186,CTR,4,0,0,32.09756098,418,1,0,1,0,0.32,0.455805
187418,187,CTR,4,0,0,31.70731707,418,1,0,1,0,0.32,0.456585
188418,188,CTR,4,0,0,31.31707317,418,1,0,1,0,0.32,0.457366
189418,189,CTR,4,0,0,30.92682927,418,1,0,1,0,0.32,0.458146
190418,190,CTR,4,0,0,30.53658537,418,1,0,1,0,0.32,0.458927
191418,191,CTR,4,0,0,30.14634146,418,1,0,1,0,0.32,0.459707
192418,192,CTR,3.7,0,0,29.75609756,418,1,0,1,0,0.32,0.460488
193418,193,CTR,3.79,0,0,29.36585366,418,1,0,1,0,0.32,0.461268
194418,194,CTR,3.55,0,0,28.97560976,418,1,0,1,0,0.32,0.462049
195418,195,CBC,3.39,0,0,28.58536585,418,1,0,1,0,0.32,0.578537
196418,196,CTR,3.87,0,0,28.19512195,418,1,0,1,0,0.32,0.46361
197418,197,CTR,3.91,0,0,27.80487805,418,1,0,1,0,0.32,0.46439
198418,198,CTR,3.94,0,0,27.41463415,418,1,0,1,0,0.32,0.465171
199418,199,CTR,4.26,0,0,27.02439024,418,1,0,1,0,0.32,0.465951
200418,200,CBC,3.28,0,0,26.63414634,418,1,0,1,0,0.32,0.583415
201418,201,CTR,3.5,0,0,26.24390244,418,1,0,1,0,0.32,0.467512
202418,202,CBC,2.75,0,0,25.85365854,418,1,0,1,0,0.32,0.585366
204518,203,CBC,2.75,0,0,25.46341463,1518,0,1,0,0,0.32,0.586341
206036,204,CBC,2.75,0,0,25.07317073,1518,0,2,0,0,0.32,0.587317
207554,205,CBC,2.75,0,0,24.68292683,1518,0,3,0,0,0.32,0.588293
209072,206,CBC,2.75,0,0,24.29268293,1518,0,4,0,0,0.32,0.589268
210590,207,CBC,2.75,0,0,23.90243902,1518,0,5,0,0,0.32,0.590244
212108,208,CBC,2.75,0,0,23.51219512,1518,0,6,0,0,0.32,0.59122
213626,209,CBC,2.75,0,0,23.12195122,1518,0,7,0,0,0.32,0.592195
214044,210,CBC,3.42,0.0105,0,22.73170732,418,1,7,1,0,0.32,0.602129
215044,211,CBC,3.3,0.0168,0,22.34146341,418,1,7,1,0,0.328,0.608512
216044,212,CBC,3.21,0.0211,0,21.95121951,418,1,7,1,0,0.333,0.613193
217044,213,CBC,2.54,0.0241,0,21.56097561,418,1,7,1,0,0.337,0.616761
218044,214,CBC,1.78,0.0263,0,21.17073171,418,1,7,1,0,0.339,0.619641
219044,215,CBC,0.05,0.0278,0,20.7804878,418,1,7,1,0,0.341,0.621917
220044,216,CBC,-0.87,0.0288,0,20.3902439,418,1,7,1,0,0.342,0.623761
221044,217,CBC,-1.21,0.0295,0,20,418,1,7,1,0,0.343,0.625344
